Model,GIPR_Test_R2,GIPR_Test_RMSE,GIPR_Train_R2,GIPR_Train_RMSE,GIPR_Validation_R2,GIPR_Validation_RMSE,GLP1R_Test_R2,GLP1R_Test_RMSE,GLP1R_Train_R2,GLP1R_Train_RMSE,GLP1R_Validation_R2,GLP1R_Validation_RMSE,GCGR_Test_R2,GCGR_Test_RMSE,GCGR_Train_R2,GCGR_Train_RMSE,GCGR_Validation_R2,GCGR_Validation_RMSE
modeling_data_predict_27,0.8161,0.4316,0.8806,0.3046,0.5863,0.501,0.9014,0.4335,0.9108,0.4062,0.791,0.5894,0.8934,0.5221,0.9393,0.4143,0.9006,0.5446
modeling_data_predict_29,0.8496,0.4115,0.9097,0.2646,0.876,0.2487,0.8989,0.4156,0.9281,0.3649,0.9124,0.3967,0.9149,0.4865,0.9609,0.3312,0.9705,0.2935
modeling_data_predict_39,0.76,0.3963,0.934,0.2307,0.8631,0.3126,0.8454,0.4809,0.9482,0.3105,0.8861,0.4752,0.9485,0.393,0.9721,0.2795,0.9287,0.4462
modeling_data_predict_40,0.8587,0.3334,0.901,0.273,0.827,0.4178,0.9118,0.4497,0.9269,0.3608,0.8979,0.4313,0.9521,0.3949,0.9562,0.3504,0.9122,0.4653
modeling_data_predict_7,0.7809,0.46,0.8705,0.3154,0.7027,0.4612,0.8907,0.4801,0.9155,0.3907,0.8167,0.5752,0.8899,0.5366,0.9489,0.3768,0.9364,0.4613
,0.8131,0.4066,0.8992,0.2777,0.771,0.3883,0.8896,0.452,0.9259,0.3666,0.8608,0.4936,0.9198,0.4666,0.9555,0.3504,0.9297,0.4422
,0.0427,0.0473,0.025,0.0337,0.1239,0.105,0.0259,0.0287,0.0145,0.0365,0.0536,0.0858,0.0295,0.0688,0.0124,0.0504,0.0268,0.0915
