Smiles,Name,Names,InChi
N[C@@H](c1cn(C(C)C)c2c1cccc2C1CC1)C(=O)O,XVZ,XVZ,"InChI=1S/C16H20N2O2/c1-9(2)18-8-13(14(17)16(19)20)12-5-3-4-11(15(12)18)10-6-7-10/h3-5,8-10,14H,6-7,17H2,1-2H3,(H,19,20)/t14-/m0/s1"
N[C@@H](c1cn(C2CC2)c2ccc(C3CC3)cc12)C(=O)O,CTO,CTO,"InChI=1S/C16H18N2O2/c17-15(16(19)20)13-8-18(11-4-5-11)14-6-3-10(7-12(13)14)9-1-2-9/h3,6-9,11,15H,1-2,4-5,17H2,(H,19,20)/t15-/m0/s1"
N[C@@H](c1c2c(C)ccc(Cl)c2n(c1)C1CC1)C(=O)O,46N,46N,"InChI=1S/C14H15ClN2O2/c1-7-2-5-10(15)13-11(7)9(12(16)14(18)19)6-17(13)8-3-4-8/h2,5-6,8,12H,3-4,16H2,1H3,(H,18,19)/t12-/m0/s1"
N[C@@H](c1c2ccn(C(C)C)c2c(cc1)Cl)C(=O)O,PT5,PT5,"InChI=1S/C13H15ClN2O2/c1-7(2)16-6-5-9-8(11(15)13(17)18)3-4-10(14)12(9)16/h3-7,11H,15H2,1-2H3,(H,17,18)/t11-/m0/s1"
N[C@@H](c1ccc2n(c(c(C)c2c1)C)C(C)C)C(=O)O,IMA,IMA,"InChI=1S/C15H20N2O2/c1-8(2)17-10(4)9(3)12-7-11(5-6-13(12)17)14(16)15(18)19/h5-8,14H,16H2,1-4H3,(H,18,19)/t14-/m0/s1"
N[C@@H](c1cc(cc2CCC(C)(C)Oc12)C1CC1)C(=O)O,OF3,OF3,"InChI=1S/C16H21NO3/c1-16(2)6-5-10-7-11(9-3-4-9)8-12(14(10)20-16)13(17)15(18)19/h7-9,13H,3-6,17H2,1-2H3,(H,18,19)/t13-/m0/s1"
N[C@@H](c1cc2C3(CC(C)(C)Oc2c(c1)Cl)CC3)C(=O)O,TMX,TMX,"InChI=1S/C15H18ClNO3/c1-14(2)7-15(3-4-15)9-5-8(11(17)13(18)19)6-10(16)12(9)20-14/h5-6,11H,3-4,7,17H2,1-2H3,(H,18,19)/t11-/m0/s1"
N[C@@H]([C@H]1OC(C)(C)O[C@@H]1[C@H]1COC(C)(C)O1)C(=O)O,Z4J,Z4J,"InChI=1S/C12H21NO6/c1-11(2)16-5-6(17-11)8-9(7(13)10(14)15)19-12(3,4)18-8/h6-9H,5,13H2,1-4H3,(H,14,15)/t6-,7+,8-,9-/m1/s1"
N[C@@H](CCCCn1cnc(S(=O)(=O)N)c1)C(=O)O,H98,H98,"InChI=1S/C9H16N4O4S/c10-7(9(14)15)3-1-2-4-13-5-8(12-6-13)18(11,16)17/h5-7H,1-4,10H2,(H,14,15)(H2,11,16,17)/t7-/m0/s1"
N[C@@H](Cn1c(C(C)C)nc(S(=O)(=O)N)c1)C(=O)O,S91,S91,"InChI=1S/C9H16N4O4S/c1-5(2)8-12-7(18(11,16)17)4-13(8)3-6(10)9(14)15/h4-6H,3,10H2,1-2H3,(H,14,15)(H2,11,16,17)/t6-/m0/s1"
N[C@@H](Cn1nc(CC)c(c1CC)S(=O)(=O)N)C(=O)O,081,081,"InChI=1S/C10H18N4O4S/c1-3-7-9(19(12,17)18)8(4-2)14(13-7)5-6(11)10(15)16/h6H,3-5,11H2,1-2H3,(H,15,16)(H2,12,17,18)/t6-/m0/s1"
N[C@@H](c1nc2n(c1S(=O)(=O)N)CCC2)C(=O)O,5XD,5XD,"InChI=1S/C8H12N4O4S/c9-5(8(13)14)6-7(17(10,15)16)12-3-1-2-4(12)11-6/h5H,1-3,9H2,(H,13,14)(H2,10,15,16)/t5-/m0/s1"
N[C@@H](c1cc(S(=O)(=O)N)c(Cl)cc1Cl)C(=O)O,AK4,AK4,"InChI=1S/C8H8Cl2N2O4S/c9-4-2-5(10)6(17(12,15)16)1-3(4)7(11)8(13)14/h1-2,7H,11H2,(H,13,14)(H2,12,15,16)/t7-/m0/s1"
N[C@@H](c1ccnc(N)c1C(F)(F)F)C(=O)O,GR6,GR6,"InChI=1S/C8H8F3N3O2/c9-8(10,11)4-3(5(12)7(15)16)1-2-14-6(4)13/h1-2,5H,12H2,(H2,13,14)(H,15,16)/t5-/m0/s1"
N[C@@H](Cc1cnsc1)C(=O)O,HFP,HFP,"InChI=1S/C6H8N2O2S/c7-5(6(9)10)1-4-2-8-11-3-4/h2-3,5H,1,7H2,(H,9,10)/t5-/m0/s1"
N[C@@H](CN1CCN(S(=O)(=O)c2ccc(Cl)s2)CC1)C(=O)O,HEO,HEO,"InChI=1S/C11H16ClN3O4S2/c12-9-1-2-10(20-9)21(18,19)15-5-3-14(4-6-15)7-8(13)11(16)17/h1-2,8H,3-7,13H2,(H,16,17)/t8-/m0/s1"
N[C@@H](CNC(=O)CN1C(=O)[C@@H]2CCCC[C@H]2C1=O)C(=O)O,R1H,R1H,"InChI=1S/C13H19N3O5/c14-9(13(20)21)5-15-10(17)6-16-11(18)7-3-1-2-4-8(7)12(16)19/h7-9H,1-6,14H2,(H,15,17)(H,20,21)/t7-,8-,9+/m1/s1"
N[C@@H](CNC(=O)c1ccc(c2ccccc2Cl)o1)C(=O)O,842,842,"InChI=1S/C14H13ClN2O4/c15-9-4-2-1-3-8(9)11-5-6-12(21-11)13(18)17-7-10(16)14(19)20/h1-6,10H,7,16H2,(H,17,18)(H,19,20)/t10-/m0/s1"
N[C@@H](CNC(=O)c1ccc(c2ccc(F)cc2)s1)C(=O)O,QRV,QRV,"InChI=1S/C14H13FN2O3S/c15-9-3-1-8(2-4-9)11-5-6-12(21-11)13(18)17-7-10(16)14(19)20/h1-6,10H,7,16H2,(H,17,18)(H,19,20)/t10-/m0/s1"
N[C@@H]([C@@H](NC(=O)c1ccco1)c1ccc(Br)cc1)C(=O)O,ZM9,ZM9,"InChI=1S/C14H13BrN2O4/c15-9-5-3-8(4-6-9)12(11(16)14(19)20)17-13(18)10-2-1-7-21-10/h1-7,11-12H,16H2,(H,17,18)(H,19,20)/t11-,12-/m0/s1"
N[C@@H](C(C)(C)CC(=O)Nc1ccc2c(c1)CCO2)C(=O)O,7BA,7BA,"InChI=1S/C15H20N2O4/c1-15(2,13(16)14(19)20)8-12(18)17-10-3-4-11-9(7-10)5-6-21-11/h3-4,7,13H,5-6,8,16H2,1-2H3,(H,17,18)(H,19,20)/t13-/m1/s1"
N[C@@H](CNC(=O)c1ccc(C(F)(F)F)[nH]c1=O)C(=O)O,1YF,1YF,"InChI=1S/C10H10F3N3O4/c11-10(12,13)6-2-1-4(8(18)16-6)7(17)15-3-5(14)9(19)20/h1-2,5H,3,14H2,(H,15,17)(H,16,18)(H,19,20)/t5-/m0/s1"
N[C@@H](CNC(=O)c1cc(C)nc2c1c(C)no2)C(=O)O,2PV,2PV,"InChI=1S/C12H14N4O4/c1-5-3-7(9-6(2)16-20-11(9)15-5)10(17)14-4-8(13)12(18)19/h3,8H,4,13H2,1-2H3,(H,14,17)(H,18,19)/t8-/m0/s1"
N[C@@H](CNC(=O)c1nc2nccc(C)n2n1)C(=O)O,V68,V68,"InChI=1S/C10H12N6O3/c1-5-2-3-12-10-14-7(15-16(5)10)8(17)13-4-6(11)9(18)19/h2-3,6H,4,11H2,1H3,(H,13,17)(H,18,19)/t6-/m0/s1"
N[C@@H](CNC(=O)c1nn(CCC)c(=O)cc1)C(=O)O,10R,10R,"InChI=1S/C11H16N4O4/c1-2-5-15-9(16)4-3-8(14-15)10(17)13-6-7(12)11(18)19/h3-4,7H,2,5-6,12H2,1H3,(H,13,17)(H,18,19)/t7-/m0/s1"
N[C@@H](CC(=O)Nc1cccc(c2n(C)nnn2)c1)C(=O)O,D21,D21,"InChI=1S/C12H14N6O3/c1-18-11(15-16-17-18)7-3-2-4-8(5-7)14-10(19)6-9(13)12(20)21/h2-5,9H,6,13H2,1H3,(H,14,19)(H,20,21)/t9-/m0/s1"
N[C@@H](CC(=O)Nc1ccc(OC2CCCC2)cc1)C(=O)O,GDZ,GDZ,"InChI=1S/C15H20N2O4/c16-13(15(19)20)9-14(18)17-10-5-7-12(8-6-10)21-11-3-1-2-4-11/h5-8,11,13H,1-4,9,16H2,(H,17,18)(H,19,20)/t13-/m0/s1"
N[C@@H](CN(C(=O)c1c(C)sc(c2ccco2)n1)C)C(=O)O,GK8,GK8,"InChI=1S/C13H15N3O4S/c1-7-10(12(17)16(2)6-8(14)13(18)19)15-11(21-7)9-4-3-5-20-9/h3-5,8H,6,14H2,1-2H3,(H,18,19)/t8-/m0/s1"
N[C@@H](CN(C)C(=O)[C@@H]1CS[C@]2(C)CCC(=O)N12)C(=O)O,3NA,3NA,"InChI=1S/C12H19N3O4S/c1-12-4-3-9(16)15(12)8(6-20-12)10(17)14(2)5-7(13)11(18)19/h7-8H,3-6,13H2,1-2H3,(H,18,19)/t7-,8-,12+/m0/s1"
N[C@@H](CN(C(=O)c1c(C)c2c(s1)cccc2F)C)C(=O)O,831,831,"InChI=1S/C14H15FN2O3S/c1-7-11-8(15)4-3-5-10(11)21-12(7)13(18)17(2)6-9(16)14(19)20/h3-5,9H,6,16H2,1-2H3,(H,19,20)/t9-/m0/s1"
N[C@@H](CN(C(=O)[C@H]1[C@@H](C)Oc2ccccc2O1)C)C(=O)O,WSZ,WSZ,"InChI=1S/C14H18N2O5/c1-8-12(13(17)16(2)7-9(15)14(18)19)21-11-6-4-3-5-10(11)20-8/h3-6,8-9,12H,7,15H2,1-2H3,(H,18,19)/t8-,9+,12-/m1/s1"
N[C@@H](CN(C)C(=O)[C@@H]1CCCN(C(=O)C2CC2)C1)C(=O)O,TGO,TGO,"InChI=1S/C14H23N3O4/c1-16(8-11(15)14(20)21)12(18)10-3-2-6-17(7-10)13(19)9-4-5-9/h9-11H,2-8,15H2,1H3,(H,20,21)/t10-,11+/m1/s1"
N[C@@H](CN(C)C(=O)c1sccc1n1cnnn1)C(=O)O,F47,F47,"InChI=1S/C10H12N6O3S/c1-15(4-6(11)10(18)19)9(17)8-7(2-3-20-8)16-5-12-13-14-16/h2-3,5-6H,4,11H2,1H3,(H,18,19)/t6-/m0/s1"
N[C@@H](CN(CC)C(=O)Cn1cc(Br)ccc1=O)C(=O)O,UFC,UFC,"InChI=1S/C12H16BrN3O4/c1-2-15(6-9(14)12(19)20)11(18)7-16-5-8(13)3-4-10(16)17/h3-5,9H,2,6-7,14H2,1H3,(H,19,20)/t9-/m0/s1"
N[C@@H](C[C@H]1CCCN(C(=O)c2n(C)cc(Br)c2)C1)C(=O)O,ZKH,ZKH,"InChI=1S/C14H20BrN3O3/c1-17-8-10(15)6-12(17)13(19)18-4-2-3-9(7-18)5-11(16)14(20)21/h6,8-9,11H,2-5,7,16H2,1H3,(H,20,21)/t9-,11+/m1/s1"
N[C@@H](C[C@H]1CCCN(C(=O)CCc2ccco2)C1)C(=O)O,F5W,F5W,"InChI=1S/C15H22N2O4/c16-13(15(19)20)9-11-3-1-7-17(10-11)14(18)6-5-12-4-2-8-21-12/h2,4,8,11,13H,1,3,5-7,9-10,16H2,(H,19,20)/t11-,13+/m1/s1"
N[C@@H](CNC(=O)c1ccc2S[C@H](C)C(=O)Nc2c1)C(=O)O,X6D,X6D,"InChI=1S/C13H15N3O4S/c1-6-11(17)16-9-4-7(2-3-10(9)21-6)12(18)15-5-8(14)13(19)20/h2-4,6,8H,5,14H2,1H3,(H,15,18)(H,16,17)(H,19,20)/t6-,8+/m1/s1"
N[C@@H](CNC(=O)[C@@H]1CC(=O)N(Cc2ccco2)C1)C(=O)O,PYF,PYF,"InChI=1S/C13H17N3O5/c14-10(13(19)20)5-15-12(18)8-4-11(17)16(6-8)7-9-2-1-3-21-9/h1-3,8,10H,4-7,14H2,(H,15,18)(H,19,20)/t8-,10+/m1/s1"
N[C@@H](CNC(=O)[C@@H]1CC(=O)Nc2cc(F)ccc12)C(=O)O,KGC,KGC,"InChI=1S/C13H14FN3O4/c14-6-1-2-7-8(4-11(18)17-10(7)3-6)12(19)16-5-9(15)13(20)21/h1-3,8-9H,4-5,15H2,(H,16,19)(H,17,18)(H,20,21)/t8-,9+/m1/s1"
N[C@@H](CNC(=O)c1c(CC)n(nc1)C(C)(C)C)C(=O)O,UTD,UTD,"InChI=1S/C13H22N4O3/c1-5-10-8(6-16-17(10)13(2,3)4)11(18)15-7-9(14)12(19)20/h6,9H,5,7,14H2,1-4H3,(H,15,18)(H,19,20)/t9-/m0/s1"
N[C@@H](CNC(=O)c1nc(SC)n2c1cccc2)C(=O)O,QNR,QNR,"InChI=1S/C12H14N4O3S/c1-20-12-15-9(8-4-2-3-5-16(8)12)10(17)14-6-7(13)11(18)19/h2-5,7H,6,13H2,1H3,(H,14,17)(H,18,19)/t7-/m0/s1"
N[C@@H](CNC(=O)c1c(N)nccn1)C(=O)O,MNP,MNP,"InChI=1S/C8H11N5O3/c9-4(8(15)16)3-13-7(14)5-6(10)12-2-1-11-5/h1-2,4H,3,9H2,(H2,10,12)(H,13,14)(H,15,16)/t4-/m0/s1"
N[C@@H](CN(C(=O)c1c(C)nc(C(F)(F)F)cc1)C)C(=O)O,8MI,8MI,"InChI=1S/C12H14F3N3O3/c1-6-7(3-4-9(17-6)12(13,14)15)10(19)18(2)5-8(16)11(20)21/h3-4,8H,5,16H2,1-2H3,(H,20,21)/t8-/m0/s1"
N[C@@H](CN(C)C(=O)c1cnn(C(C)(C)C)c1)C(=O)O,ZQL,ZQL,"InChI=1S/C12H20N4O3/c1-12(2,3)16-6-8(5-14-16)10(17)15(4)7-9(13)11(18)19/h5-6,9H,7,13H2,1-4H3,(H,18,19)/t9-/m0/s1"
N[C@@H](CN(C)C(=O)c1cc(F)cc2[nH]cnc12)C(=O)O,Y4A,Y4A,"InChI=1S/C12H13FN4O3/c1-17(4-8(14)12(19)20)11(18)7-2-6(13)3-9-10(7)16-5-15-9/h2-3,5,8H,4,14H2,1H3,(H,15,16)(H,19,20)/t8-/m0/s1"
N[C@@H]([C@@H](NC(=O)C)c1ccc(OC(F)(F)F)cc1)C(=O)O,9J1,9J1,"InChI=1S/C12H13F3N2O4/c1-6(18)17-10(9(16)11(19)20)7-2-4-8(5-3-7)21-12(13,14)15/h2-5,9-10H,16H2,1H3,(H,17,18)(H,19,20)/t9-,10-/m0/s1"
N[C@@H](CN(CC)C(=O)c1nc(C(C)C)ncc1Cl)C(=O)O,GT5,GT5,"InChI=1S/C13H19ClN4O3/c1-4-18(6-9(15)13(20)21)12(19)10-8(14)5-16-11(17-10)7(2)3/h5,7,9H,4,6,15H2,1-3H3,(H,20,21)/t9-/m0/s1"
N[C@@H](c1ccccc1NC(=O)Cc1ccsc1)C(=O)O,3RA,3RA,"InChI=1S/C14H14N2O3S/c15-13(14(18)19)10-3-1-2-4-11(10)16-12(17)7-9-5-6-20-8-9/h1-6,8,13H,7,15H2,(H,16,17)(H,18,19)/t13-/m0/s1"
N[C@@H](C(CC(=O)N1[C@H](C)Cc2ccccc12)(C)C)C(=O)O,K96,K96,"InChI=1S/C16H22N2O3/c1-10-8-11-6-4-5-7-12(11)18(10)13(19)9-16(2,3)14(17)15(20)21/h4-7,10,14H,8-9,17H2,1-3H3,(H,20,21)/t10-,14-/m1/s1"
N[C@@H](C(CC(=O)N1C[C@@H](C)OC[C@H]1C)(C)C)C(=O)O,IGJ,IGJ,"InChI=1S/C13H24N2O4/c1-8-7-19-9(2)6-15(8)10(16)5-13(3,4)11(14)12(17)18/h8-9,11H,5-7,14H2,1-4H3,(H,17,18)/t8-,9-,11-/m1/s1"
N[C@@H](C(C)(C)CC(=O)N1CCC[C@H]1c1cccs1)C(=O)O,LNC,LNC,"InChI=1S/C15H22N2O3S/c1-15(2,13(16)14(19)20)9-12(18)17-7-3-5-10(17)11-6-4-8-21-11/h4,6,8,10,13H,3,5,7,9,16H2,1-2H3,(H,19,20)/t10-,13+/m0/s1"
N[C@@H](C(CC(=O)N1CCC[C@@H](NC(=O)C)C1)(C)C)C(=O)O,T02,T02,"InChI=1S/C14H25N3O4/c1-9(18)16-10-5-4-6-17(8-10)11(19)7-14(2,3)12(15)13(20)21/h10,12H,4-8,15H2,1-3H3,(H,16,18)(H,20,21)/t10-,12-/m1/s1"
N[C@@H](CC[N@](C)Cc1ccccc1N1CCCC1)C(=O)O,1GL,1GL,"InChI=1S/C16H25N3O2/c1-18(11-8-14(17)16(20)21)12-13-6-2-3-7-15(13)19-9-4-5-10-19/h2-3,6-7,14H,4-5,8-12,17H2,1H3,(H,20,21)/t14-/m0/s1"
N[C@@H](CCN1CCN(c2c(C)ccc(Cl)c2)CC1)C(=O)O,WXG,WXG,"InChI=1S/C15H22ClN3O2/c1-11-2-3-12(16)10-14(11)19-8-6-18(7-9-19)5-4-13(17)15(20)21/h2-3,10,13H,4-9,17H2,1H3,(H,20,21)/t13-/m0/s1"
N[C@@H](CC[N@]1CCC[C@@H](c2scc(CC)n2)C1)C(=O)O,8SL,8SL,"InChI=1S/C14H23N3O2S/c1-2-11-9-20-13(16-11)10-4-3-6-17(8-10)7-5-12(15)14(18)19/h9-10,12H,2-8,15H2,1H3,(H,18,19)/t10-,12+/m1/s1"
N[C@@H](CC[N@]1CCN(C)c2c(C1)cccc2)C(=O)O,BLM,BLM,"InChI=1S/C14H21N3O2/c1-16-8-9-17(7-6-12(15)14(18)19)10-11-4-2-3-5-13(11)16/h2-5,12H,6-10,15H2,1H3,(H,18,19)/t12-/m0/s1"
N[C@@H](CCN1[C@H](C)C[N@](Cc2ccccc2)CC1)C(=O)O,B8K,B8K,"InChI=1S/C16H25N3O2/c1-13-11-18(12-14-5-3-2-4-6-14)9-10-19(13)8-7-15(17)16(20)21/h2-6,13,15H,7-12,17H2,1H3,(H,20,21)/t13-,15+/m1/s1"
N[C@@H](C[C@H]1N(C(=O)c2c(CC)nns2)CCCC1)C(=O)O,AJR,AJR,"InChI=1S/C13H20N4O3S/c1-2-10-11(21-16-15-10)12(18)17-6-4-3-5-8(17)7-9(14)13(19)20/h8-9H,2-7,14H2,1H3,(H,19,20)/t8-,9-/m0/s1"
N[C@@H](CC(=O)Nc1ccc(C#N)c(c1)C(F)(F)F)C(=O)O,LO6,LO6,"InChI=1S/C12H10F3N3O3/c13-12(14,15)8-3-7(2-1-6(8)5-16)18-10(19)4-9(17)11(20)21/h1-3,9H,4,17H2,(H,18,19)(H,20,21)/t9-/m0/s1"
N[C@@H](CN(CC)C(=O)c1cccc2cc[nH]c12)C(=O)O,58P,58P,"InChI=1S/C14H17N3O3/c1-2-17(8-11(15)14(19)20)13(18)10-5-3-4-9-6-7-16-12(9)10/h3-7,11,16H,2,8,15H2,1H3,(H,19,20)/t11-/m0/s1"
N[C@@H]([C@H]1N(C(=O)Cc2c(C)noc2C)CCSC1)C(=O)O,DIK,DIK,"InChI=1S/C13H19N3O4S/c1-7-9(8(2)20-15-7)5-11(17)16-3-4-21-6-10(16)12(14)13(18)19/h10,12H,3-6,14H2,1-2H3,(H,18,19)/t10-,12-/m0/s1"
N[C@@H]([C@@H]1CSCCN1C(=O)CCn1cncn1)C(=O)O,NXQ,NXQ,"InChI=1S/C11H17N5O3S/c12-10(11(18)19)8-5-20-4-3-16(8)9(17)1-2-15-7-13-6-14-15/h6-8,10H,1-5,12H2,(H,18,19)/t8-,10-/m0/s1"
N[C@@H]([C@@H]1CSCCN1C(=O)c1cc2c(s1)CCC2)C(=O)O,HV7,HV7,"InChI=1S/C14H18N2O3S2/c15-12(14(18)19)9-7-20-5-4-16(9)13(17)11-6-8-2-1-3-10(8)21-11/h6,9,12H,1-5,7,15H2,(H,18,19)/t9-,12-/m0/s1"
N[C@@H]([C@@H]1CSCCN1C(=O)[C@H]1CCCOC1)C(=O)O,DRX,DRX,"InChI=1S/C12H20N2O4S/c13-10(12(16)17)9-7-19-5-3-14(9)11(15)8-2-1-4-18-6-8/h8-10H,1-7,13H2,(H,16,17)/t8-,9-,10-/m0/s1"
N[C@@H]([C@H]1OCCN(C(=O)c2c(OC)cccc2)C1)C(=O)O,7ZK,7ZK,"InChI=1S/C14H18N2O5/c1-20-10-5-3-2-4-9(10)13(17)16-6-7-21-11(8-16)12(15)14(18)19/h2-5,11-12H,6-8,15H2,1H3,(H,18,19)/t11-,12-/m0/s1"
N[C@@H](CN1CCN(c2ncc(CC)s2)CC1)C(=O)O,FBC,FBC,"InChI=1S/C12H20N4O2S/c1-2-9-7-14-12(19-9)16-5-3-15(4-6-16)8-10(13)11(17)18/h7,10H,2-6,8,13H2,1H3,(H,17,18)/t10-/m0/s1"
N[C@@H](CNC(=O)Cc1c(C)nn(C(F)F)c1C)C(=O)O,LGM,LGM,"InChI=1S/C11H16F2N4O3/c1-5-7(6(2)17(16-5)11(12)13)3-9(18)15-4-8(14)10(19)20/h8,11H,3-4,14H2,1-2H3,(H,15,18)(H,19,20)/t8-/m0/s1"
N[C@@H](CNC(=O)c1c(nc(c2ccc(C)o2)s1)C)C(=O)O,W3B,W3B,"InChI=1S/C13H15N3O4S/c1-6-3-4-9(20-6)12-16-7(2)10(21-12)11(17)15-5-8(14)13(18)19/h3-4,8H,5,14H2,1-2H3,(H,15,17)(H,18,19)/t8-/m0/s1"
N[C@@H](CNC(=O)Cc1cc2c(cc1Br)OCCO2)C(=O)O,3KO,3KO,"InChI=1S/C13H15BrN2O5/c14-8-5-11-10(20-1-2-21-11)3-7(8)4-12(17)16-6-9(15)13(18)19/h3,5,9H,1-2,4,6,15H2,(H,16,17)(H,18,19)/t9-/m0/s1"
N[C@@H](CNC(=O)C[C@@H]1CCCCO1)C(=O)O,CHR,CHR,"InChI=1S/C10H18N2O4/c11-8(10(14)15)6-12-9(13)5-7-3-1-2-4-16-7/h7-8H,1-6,11H2,(H,12,13)(H,14,15)/t7-,8-/m0/s1"
N[C@@H]([C@@H](NC(=O)C[C@@H]1CCOC1)c1cccs1)C(=O)O,O0K,O0K,"InChI=1S/C13H18N2O4S/c14-11(13(17)18)12(9-2-1-5-20-9)15-10(16)6-8-3-4-19-7-8/h1-2,5,8,11-12H,3-4,6-7,14H2,(H,15,16)(H,17,18)/t8-,11-,12-/m0/s1"
N[C@@H](CNC(=O)C[C@H]1C[C@@H](C)CC(C1)(C)C)C(=O)O,29H,29H,"InChI=1S/C14H26N2O3/c1-9-4-10(7-14(2,3)6-9)5-12(17)16-8-11(15)13(18)19/h9-11H,4-8,15H2,1-3H3,(H,16,17)(H,18,19)/t9-,10-,11+/m1/s1"
N[C@@H](CNC(=O)c1c(S(=O)(=O)N(C)C)ccs1)C(=O)O,39C,39C,"InChI=1S/C10H15N3O5S2/c1-13(2)20(17,18)7-3-4-19-8(7)9(14)12-5-6(11)10(15)16/h3-4,6H,5,11H2,1-2H3,(H,12,14)(H,15,16)/t6-/m0/s1"
N[C@@H](CNC(=O)c1c(OC)c(c(s1)C)Br)C(=O)O,DJ6,DJ6,"InChI=1S/C10H13BrN2O4S/c1-4-6(11)7(17-2)8(18-4)9(14)13-3-5(12)10(15)16/h5H,3,12H2,1-2H3,(H,13,14)(H,15,16)/t5-/m0/s1"
N[C@@H](CNC(=O)C1(c2cc(OC)c(cc2)C)CC1)C(=O)O,TOL,TOL,"InChI=1S/C15H20N2O4/c1-9-3-4-10(7-12(9)21-2)15(5-6-15)14(20)17-8-11(16)13(18)19/h3-4,7,11H,5-6,8,16H2,1-2H3,(H,17,20)(H,18,19)/t11-/m0/s1"
N[C@@H](CNC(=O)c1sc2n(nc(C(C)C)c2c1)C)C(=O)O,TWH,TWH,"InChI=1S/C13H18N4O3S/c1-6(2)10-7-4-9(21-12(7)17(3)16-10)11(18)15-5-8(14)13(19)20/h4,6,8H,5,14H2,1-3H3,(H,15,18)(H,19,20)/t8-/m0/s1"
N[C@@H](CNC(=O)[C@H]1[C@H](OCC)C1)C(=O)O,LRE,LRE,"InChI=1S/C9H16N2O4/c1-2-15-7-3-5(7)8(12)11-4-6(10)9(13)14/h5-7H,2-4,10H2,1H3,(H,11,12)(H,13,14)/t5-,6+,7-/m1/s1"
N[C@@H](CNC(=O)c1c(OC(C)C)cc(Br)cc1)C(=O)O,5PN,5PN,"InChI=1S/C13H17BrN2O4/c1-7(2)20-11-5-8(14)3-4-9(11)12(17)16-6-10(15)13(18)19/h3-5,7,10H,6,15H2,1-2H3,(H,16,17)(H,18,19)/t10-/m0/s1"
N[C@@H](CNC(=O)C[C@H]1CCc2ccccc2C1)C(=O)O,CEN,CEN,"InChI=1S/C15H20N2O3/c16-13(15(19)20)9-17-14(18)8-10-5-6-11-3-1-2-4-12(11)7-10/h1-4,10,13H,5-9,16H2,(H,17,18)(H,19,20)/t10-,13-/m0/s1"
N[C@@H](CNC(=O)[C@H]1Oc2c(cc(C)c(c2)C)C1)C(=O)O,LJY,LJY,"InChI=1S/C14H18N2O4/c1-7-3-9-5-12(20-11(9)4-8(7)2)13(17)16-6-10(15)14(18)19/h3-4,10,12H,5-6,15H2,1-2H3,(H,16,17)(H,18,19)/t10-,12-/m0/s1"
N[C@@H](CNC(=O)C1(Sc2ccccc2)CCCC1)C(=O)O,RJY,RJY,"InChI=1S/C15H20N2O3S/c16-12(13(18)19)10-17-14(20)15(8-4-5-9-15)21-11-6-2-1-3-7-11/h1-3,6-7,12H,4-5,8-10,16H2,(H,17,20)(H,18,19)/t12-/m0/s1"
N[C@@H](CNC(=O)c1c(c2c(ccc(C)c2o1)C)C)C(=O)O,3GY,3GY,"InChI=1S/C15H18N2O4/c1-7-4-5-8(2)12-11(7)9(3)13(21-12)14(18)17-6-10(16)15(19)20/h4-5,10H,6,16H2,1-3H3,(H,17,18)(H,19,20)/t10-/m0/s1"
N[C@@H](CNC(=O)Cc1c(C)oc(c2ccsc2)n1)C(=O)O,B26,B26,"InChI=1S/C13H15N3O4S/c1-7-10(4-11(17)15-5-9(14)13(18)19)16-12(20-7)8-2-3-21-6-8/h2-3,6,9H,4-5,14H2,1H3,(H,15,17)(H,18,19)/t9-/m0/s1"
N[C@@H](CNC(=O)[C@@H]1C[C@H]1c1cccc(F)c1F)C(=O)O,DBM,DBM,"InChI=1S/C13H14F2N2O3/c14-9-3-1-2-6(11(9)15)7-4-8(7)12(18)17-5-10(16)13(19)20/h1-3,7-8,10H,4-5,16H2,(H,17,18)(H,19,20)/t7-,8+,10-/m0/s1"
N[C@@H](CN(CC)C(=O)[C@@H]1C[C@H]1c1ccccc1Cl)C(=O)O,A1O,A1O,"InChI=1S/C15H19ClN2O3/c1-2-18(8-13(17)15(20)21)14(19)11-7-10(11)9-5-3-4-6-12(9)16/h3-6,10-11,13H,2,7-8,17H2,1H3,(H,20,21)/t10-,11+,13-/m0/s1"
N[C@@H](CN(CC)C(=O)[C@@H]1CSc2ccccc2O1)C(=O)O,GUZ,GUZ,"InChI=1S/C14H18N2O4S/c1-2-16(7-9(15)14(18)19)13(17)11-8-21-12-6-4-3-5-10(12)20-11/h3-6,9,11H,2,7-8,15H2,1H3,(H,18,19)/t9-,11-/m0/s1"
N[C@@H](CN(CC)C(=O)[C@H]1SCCc2sccc12)C(=O)O,H3U,H3U,"InChI=1S/C13H18N2O3S2/c1-2-15(7-9(14)13(17)18)12(16)11-8-3-5-19-10(8)4-6-20-11/h3,5,9,11H,2,4,6-7,14H2,1H3,(H,17,18)/t9-,11-/m0/s1"
N[C@@H](CN(CC)C(=O)c1csc(S(=O)(=O)N)c1)C(=O)O,L2N,L2N,"InChI=1S/C10H15N3O5S2/c1-2-13(4-7(11)10(15)16)9(14)6-3-8(19-5-6)20(12,17)18/h3,5,7H,2,4,11H2,1H3,(H,15,16)(H2,12,17,18)/t7-/m0/s1"
