Smiles,Name,Names,InChi
N[C@@H](c1c(Cl)c2cc(Br)ccc2oc1=O)C(=O)O,06H,06H,"InChI=1S/C11H7BrClNO4/c12-4-1-2-6-5(3-4)8(13)7(11(17)18-6)9(14)10(15)16/h1-3,9H,14H2,(H,15,16)/t9-/m0/s1"
N[C@@H](CCOc1cc(OC)c(cc1)CO)C(=O)O,Z18,Z18,"InChI=1S/C12H17NO5/c1-17-11-6-9(3-2-8(11)7-14)18-5-4-10(13)12(15)16/h2-3,6,10,14H,4-5,7,13H2,1H3,(H,15,16)/t10-/m0/s1"
N[C@@H](Cn1oc(=O)[nH]c1=O)C(=O)O,20O,20O,"InChI=1S/C5H7N3O5/c6-2(3(9)10)1-8-4(11)7-5(12)13-8/h2H,1,6H2,(H,9,10)(H,7,11,12)/t2-/m0/s1"
N[C@@H](Cc1c(C(C)(C)C)o[nH]c1=O)C(=O)O,486,486,"InChI=1S/C10H16N2O4/c1-10(2,3)7-5(8(13)12-16-7)4-6(11)9(14)15/h6H,4,11H2,1-3H3,(H,12,13)(H,14,15)/t6-/m0/s1"
N[C@@H](c1ccc(c2cccc(OC)n2)cc1)C(=O)O,M01,M01,"InChI=1S/C14H14N2O3/c1-19-12-4-2-3-11(16-12)9-5-7-10(8-6-9)13(15)14(17)18/h2-8,13H,15H2,1H3,(H,17,18)/t13-/m0/s1"
N[C@@H](c1sccc1SCC(=O)O)C(=O)O,GXF,GXF,"InChI=1S/C8H9NO4S2/c9-6(8(12)13)7-4(1-2-14-7)15-3-5(10)11/h1-2,6H,3,9H2,(H,10,11)(H,12,13)/t6-/m0/s1"
N[C@@H](c1cc(C(C)(C)C)cc2c1CCC2(C)C)C(=O)O,5QX,5QX,"InChI=1S/C17H25NO2/c1-16(2,3)10-8-12(14(18)15(19)20)11-6-7-17(4,5)13(11)9-10/h8-9,14H,6-7,18H2,1-5H3,(H,19,20)/t14-/m0/s1"
N[C@@H](C(SCc1ccc(C)cc1)(C)C)C(=O)O,DJK,DJK,"InChI=1S/C13H19NO2S/c1-9-4-6-10(7-5-9)8-17-13(2,3)11(14)12(15)16/h4-7,11H,8,14H2,1-3H3,(H,15,16)/t11-/m1/s1"
N[C@@H](c1nc(NC(=O)CSc2n(C)cnn2)sc1)C(=O)O,NYT,NYT,"InChI=1S/C10H12N6O3S2/c1-16-4-12-15-10(16)21-3-6(17)14-9-13-5(2-20-9)7(11)8(18)19/h2,4,7H,3,11H2,1H3,(H,18,19)(H,13,14,17)/t7-/m0/s1"
N[C@@H](C[S@](=O)c1ccccc1C(=O)O)C(=O)O,SRA,SRA,"InChI=1S/C10H11NO5S/c11-7(10(14)15)5-17(16)8-4-2-1-3-6(8)9(12)13/h1-4,7H,5,11H2,(H,12,13)(H,14,15)/t7-,17-/m0/s1"
N[C@@H](c1c(nc(C)[nH]c1=O)O)C(=O)O,JKQ,JKQ,"InChI=1S/C7H9N3O4/c1-2-9-5(11)3(6(12)10-2)4(8)7(13)14/h4H,8H2,1H3,(H,13,14)(H2,9,10,11,12)/t4-/m0/s1"
N[C@@H](c1n(c2[nH]nc(C(=O)OC)n2)ccc1)C(=O)O,LSX,LSX,"InChI=1S/C10H11N5O4/c1-19-9(18)7-12-10(14-13-7)15-4-2-3-5(15)6(11)8(16)17/h2-4,6H,11H2,1H3,(H,16,17)(H,12,13,14)/t6-/m0/s1"
N[C@@H](c1c(C)[nH]c2c(F)cc(Br)cc12)C(=O)O,NJM,NJM,"InChI=1S/C11H10BrFN2O2/c1-4-8(9(14)11(16)17)6-2-5(12)3-7(13)10(6)15-4/h2-3,9,15H,14H2,1H3,(H,16,17)/t9-/m0/s1"
N[C@@H](c1n(c2ccc(C(=O)OCC)cc2)ccc1)C(=O)O,4JQ,4JQ,"InChI=1S/C15H16N2O4/c1-2-21-15(20)10-5-7-11(8-6-10)17-9-3-4-12(17)13(16)14(18)19/h3-9,13H,2,16H2,1H3,(H,18,19)/t13-/m0/s1"
N[C@@H](c1c([nH]c2ccc(C(C)C)cc12)C(C)(C)C)C(=O)O,EY6,EY6,"InChI=1S/C17H24N2O2/c1-9(2)10-6-7-12-11(8-10)13(14(18)16(20)21)15(19-12)17(3,4)5/h6-9,14,19H,18H2,1-5H3,(H,20,21)/t14-/m0/s1"
N[C@@H](c1c(C)[nH]c2c(C)ccc(Cl)c12)C(=O)O,KRV,KRV,"InChI=1S/C12H13ClN2O2/c1-5-3-4-7(13)9-8(10(14)12(16)17)6(2)15-11(5)9/h3-4,10,15H,14H2,1-2H3,(H,16,17)/t10-/m0/s1"
N[C@@H](c1c(c2cc(C)sc2C)[nH]c2ccccc12)C(=O)O,BW8,BW8,"InChI=1S/C16H16N2O2S/c1-8-7-11(9(2)21-8)15-13(14(17)16(19)20)10-5-3-4-6-12(10)18-15/h3-7,14,18H,17H2,1-2H3,(H,19,20)/t14-/m0/s1"
N[C@@H]([C@H](c1cccnc1)c1c[nH]c2ccccc12)C(=O)O,Z31,Z31,"InChI=1S/C16H15N3O2/c17-15(16(20)21)14(10-4-3-7-18-8-10)12-9-19-13-6-2-1-5-11(12)13/h1-9,14-15,19H,17H2,(H,20,21)/t14-,15+/m1/s1"
N[C@@H](C[C@@H]1[C@H]2OC(C)(C)O[C@H]2C(=O)O1)C(=O)O,W2N,W2N,"InChI=1S/C10H15NO6/c1-10(2)16-6-5(3-4(11)8(12)13)15-9(14)7(6)17-10/h4-7H,3,11H2,1-2H3,(H,12,13)/t4-,5+,6+,7+/m0/s1"
N[C@@H]([C@@H](C(=O)OC)CC(C)C)C(=O)O,0JK,0JK,"InChI=1S/C9H17NO4/c1-5(2)4-6(9(13)14-3)7(10)8(11)12/h5-7H,4,10H2,1-3H3,(H,11,12)/t6-,7-/m0/s1"
N[C@@H](CC(=O)c1c(C)onc1c1ccccc1)C(=O)O,03L,03L,"InChI=1S/C14H14N2O4/c1-8-12(11(17)7-10(15)14(18)19)13(16-20-8)9-5-3-2-4-6-9/h2-6,10H,7,15H2,1H3,(H,18,19)/t10-/m0/s1"
N[C@@H](CC(=O)c1ccc(c2ccccn2)s1)C(=O)O,1LY,1LY,"InChI=1S/C13H12N2O3S/c14-8(13(17)18)7-10(16)12-5-4-11(19-12)9-3-1-2-6-15-9/h1-6,8H,7,14H2,(H,17,18)/t8-/m0/s1"
N[C@@H](CC(=O)c1c(C)nc(c2cnccn2)s1)C(=O)O,X73,X73,"InChI=1S/C12H12N4O3S/c1-6-10(9(17)4-7(13)12(18)19)20-11(16-6)8-5-14-2-3-15-8/h2-3,5,7H,4,13H2,1H3,(H,18,19)/t7-/m0/s1"
N[C@@H](c1sccc1n1cccc1)C(=O)O,532,532,"InChI=1S/C10H10N2O2S/c11-8(10(13)14)9-7(3-6-15-9)12-4-1-2-5-12/h1-6,8H,11H2,(H,13,14)/t8-/m0/s1"
N[C@@H](c1sc2scc(C)c2c1C)C(=O)O,EOC,EOC,"InChI=1S/C10H11NO2S2/c1-4-3-14-10-6(4)5(2)8(15-10)7(11)9(12)13/h3,7H,11H2,1-2H3,(H,12,13)/t7-/m0/s1"
N[C@@H](c1ccc(c2scc(C(C)(C)C)n2)cc1)C(=O)O,W19,W19,"InChI=1S/C15H18N2O2S/c1-15(2,3)11-8-20-13(17-11)10-6-4-9(5-7-10)12(16)14(18)19/h4-8,12H,16H2,1-3H3,(H,18,19)/t12-/m0/s1"
N[C@@H](c1ccc(c2n(C)nc(C(F)(F)F)c2)s1)C(=O)O,BYM,BYM,"InChI=1S/C11H10F3N3O2S/c1-17-5(4-8(16-17)11(12,13)14)6-2-3-7(20-6)9(15)10(18)19/h2-4,9H,15H2,1H3,(H,18,19)/t9-/m0/s1"
N[C@@H](CC(=O)c1c(C)c2c(s1)ccc(Cl)c2)C(=O)O,QMD,QMD,"InChI=1S/C13H12ClNO3S/c1-6-8-4-7(14)2-3-11(8)19-12(6)10(16)5-9(15)13(17)18/h2-4,9H,5,15H2,1H3,(H,17,18)/t9-/m0/s1"
N[C@@H](c1nc(SC)c(cc1)C#N)C(=O)O,YKH,YKH,"InChI=1S/C9H9N3O2S/c1-15-8-5(4-10)2-3-6(12-8)7(11)9(13)14/h2-3,7H,11H2,1H3,(H,13,14)/t7-/m0/s1"
N[C@@H](CC(=O)c1cc(c2ccc(Cl)cc2Cl)no1)C(=O)O,QZ5,QZ5,"InChI=1S/C13H10Cl2N2O4/c14-6-1-2-7(8(15)3-6)10-5-12(21-17-10)11(18)4-9(16)13(19)20/h1-3,5,9H,4,16H2,(H,19,20)/t9-/m0/s1"
N[C@@H](c1c(c2ccccc2)nc2n1CCS2)C(=O)O,N38,N38,"InChI=1S/C13H13N3O2S/c14-9(12(17)18)11-10(8-4-2-1-3-5-8)15-13-16(11)6-7-19-13/h1-5,9H,6-7,14H2,(H,17,18)/t9-/m0/s1"
N[C@@H](c1ccc(c2ccco2)cc1)C(=O)O,YRW,YRW,"InChI=1S/C12H11NO3/c13-11(12(14)15)9-5-3-8(4-6-9)10-2-1-7-16-10/h1-7,11H,13H2,(H,14,15)/t11-/m0/s1"
N[C@@H](c1n(C)c2c(c1)scc2)C(=O)O,L9F,L9F,"InChI=1S/C9H10N2O2S/c1-11-5-2-3-14-7(5)4-6(11)8(10)9(12)13/h2-4,8H,10H2,1H3,(H,12,13)/t8-/m0/s1"
N[C@@H](c1c([nH]c2ccc(OC)cc12)C(=O)O)C(=O)O,ZXF,ZXF,"InChI=1S/C12H12N2O5/c1-19-5-2-3-7-6(4-5)8(9(13)11(15)16)10(14-7)12(17)18/h2-4,9,14H,13H2,1H3,(H,15,16)(H,17,18)/t9-/m0/s1"
N[C@@H](CSc1nnc(c2ccc(OC)cc2)o1)C(=O)O,J86,J86,"InChI=1S/C12H13N3O4S/c1-18-8-4-2-7(3-5-8)10-14-15-12(19-10)20-6-9(13)11(16)17/h2-5,9H,6,13H2,1H3,(H,16,17)/t9-/m0/s1"
N[C@@H](CCCCc1cc(C(=O)O)ccn1)C(=O)O,351,351,"InChI=1S/C12H16N2O4/c13-10(12(17)18)4-2-1-3-9-7-8(11(15)16)5-6-14-9/h5-7,10H,1-4,13H2,(H,15,16)(H,17,18)/t10-/m0/s1"
N[C@@H](c1nc(c2ccccc2Cl)n2ccccc12)C(=O)O,Y2L,Y2L,"InChI=1S/C15H12ClN3O2/c16-10-6-2-1-5-9(10)14-18-13(12(17)15(20)21)11-7-3-4-8-19(11)14/h1-8,12H,17H2,(H,20,21)/t12-/m0/s1"
N[C@@H](c1ccc(Sc2cccc3cccnc23)o1)C(=O)O,Y61,Y61,"InChI=1S/C15H12N2O3S/c16-13(15(18)19)10-6-7-12(20-10)21-11-5-1-3-9-4-2-8-17-14(9)11/h1-8,13H,16H2,(H,18,19)/t13-/m0/s1"
N[C@@H]([C@@]1(C(=O)O)CC(F)(F)C1(F)F)C(=O)O,JL5,JL5,"InChI=1S/C7H7F4NO4/c8-6(9)1-5(4(15)16,7(6,10)11)2(12)3(13)14/h2H,1,12H2,(H,13,14)(H,15,16)/t2-,5-/m1/s1"
